Test at 17:52,,,,y = 2E-10x3 - 2E-06x2 + 0.0058x + 49.68
21,54,3880003,01:04:40.3,
21,54,3885003,01:04:45.3,
21,54,3890003,01:04:50.3,
21,54,3895003,01:04:55.3,
21,54,3900003,01:05:00.3,
21,54,3905003,01:05:05.3,
21,54,3910003,01:05:10.3,
21,54,3915003,01:05:15.3,
21,54,3920003,01:05:20.3,
21,54,3925003,01:05:25.3,
21,54,3930003,01:05:30.3,
21,54,3935003,01:05:35.3,
21,54,3940003,01:05:40.3,
21,54,3945004,01:05:45.4,
21,54,3950005,01:05:50.5,
21,54,3955003,01:05:55.3,
21,54,3960003,01:06:00.3,
21,54,3965003,01:06:05.3,
21,54,3970003,01:06:10.3,
21,54,3975003,01:06:15.3,
21,54,3980003,01:06:20.3,
21,54,3985003,01:06:25.3,
21,54,3990003,01:06:30.3,
21,54,3995003,01:06:35.3,
21,54,4000003,01:06:40.3,
21,54,4005003,01:06:45.3,
21,54,4010003,01:06:50.3,
21,54,4015003,01:06:55.3,
21,54,4020003,01:07:00.3,
21,54,4025004,01:07:05.4,
21,54,4030003,01:07:10.3,
21,54,4035003,01:07:15.3,
21,54,4040003,01:07:20.3,
21,54,4045003,01:07:25.3,
21,54,4050003,01:07:30.3,
21,54,4055003,01:07:35.3,
21,54,4060003,01:07:40.3,
21,54,4065003,01:07:45.3,
21,54,4070003,01:07:50.3,
21,54,4075003,01:07:55.3,
21,54,4080003,01:08:00.3,
21,54,4085003,01:08:05.3,
21,54,4090003,01:08:10.3,
21,54,4095003,01:08:15.3,
